group,fit
1,0.268458131
1,0.739523444
1,0.842568051
1,0.722752837
1,0.573568783
1,0.615398451
1,0.957564913
1,0.708063833
1,0.250412611
1,0.463630867
1,0.995008124
1,0.831423107
1,0.809923438
1,0.586097974
1,0.372689058
1,0.652636906
1,0.529603987
1,0.993895978
1,0.943786815
1,0.959696525
1,0.494901773
1,0.244066239
1,0.412548699
1,0.659894006
1,0.882155313
1,0.272336786
1,0.284496048
1,0.436899379
1,0.862925663
1,0.462974199
1,0.538749438
1,0.999291978
1,0.636269941
1,0.96660282
1,0.987926109
1,0.993164591
1,0.674739892
1,0.921943161
1,0.739126296
1,0.338867376
1,0.32067929
1,0.94712911
1,0.911904699
1,0.981592015
1,0.847702263
1,0.456355487
1,0.281063764
1,0.516752522
1,0.513030788
1,0.768531702
1,0.944174909
1,0.871012307
1,0.885742316
1,0.820997242
1,0.313021206
1,0.274932428
1,0.755977793
1,0.999356976
1,0.501658568
1,0.323229832
1,0.944036281
1,0.897907502
1,0.905509563
1,0.967992639
1,0.266425593
1,0.25
1,0.911726695
1,0.672267087
1,0.867336364
1,0.793129579
1,0.433026523
1,0.609417451
1,0.955176189
1,0.883514132
1,0.25
2,0.249804838
2,0.242367416
2,0.953590238
2,0.341801405
2,0.800677268
2,0.563492056
2,0.376409275
2,0.543038885
2,0.333204635
2,0.25
2,0.291389118
2,0.25
2,0.249608189
2,0.244763145
2,0.372863323
2,0.406775205
2,0.243716591
2,0.365919196
2,0.347653253
2,0.25
2,0.28076763
2,0.881589935
2,0.353555528
2,0.323117046
2,0.709589034
2,0.250977977
2,0.25
2,0.261746145
2,0.275685976
2,0.25
2,0.248423252
2,0.395663766
2,0.249576739
2,0.965141104
2,0.25
2,0.25
2,0.25
2,0.743267205
2,0.975943032
2,0.288914024
2,0.935472894
2,0.663349084
2,0.464624616
2,0.980017703
2,0.236046205
2,0.990237741
2,0.464424974
2,0.250977592
2,0.25
2,0.24970518
2,0.576800876
2,0.757716507
2,0.241186329
2,0.243164387
2,0.25
2,0.998979723
2,0.622480323
2,0.243185499
2,0.25
2,0.249849168
2,0.25
2,0.286031605
2,0.290368915
2,0.25
2,0.90194812
2,0.96025787
2,0.383181548
2,0.969053304
2,0.754556624
2,0.996299527
2,0.25
2,0.257150296
2,0.251253611
2,0.945213014
2,0.70561596
2,0.313603933
2,0.320520119
