ID,agent,choice,outcome,RT,block,group,trialno
103,2,0,0,742.1,3,1,6
103,2,0,1,966.1,3,1,7
103,2,1,1,1658.3,3,1,8
103,2,1,1,379.5,3,1,9
103,2,1,0,488.3,3,1,10
103,2,1,1,694,3,1,11
103,2,1,1,756.3,3,1,12
103,2,1,0,751.8,3,1,13
103,2,1,1,456.1,3,1,14
103,2,1,1,624.2,3,1,15
103,2,1,1,585,3,1,16
105,3,0,0,1588.5,1,1,1
105,3,1,1,1346.9,1,1,2
105,3,0,1,2794.3,1,1,3
105,3,1,1,1599.9,1,1,4
105,3,0,0,1121.1,1,1,5
105,3,1,1,2173.4,1,1,6
105,3,1,0,571.2,1,1,7
105,3,0,0,758.4,1,1,8
105,3,1,1,902.7,1,1,9
105,3,1,0,661.7,1,1,10
105,3,0,0,405.4,1,1,11
105,3,0,0,1755.4,1,1,12
105,3,0,1,650.3,1,1,13
105,3,0,0,567.2,1,1,14
105,3,0,0,800.2,1,1,15
105,3,1,1,952.1,1,1,16
105,2,1,1,2223,1,1,1
105,2,1,0,559.1,1,1,2
105,2,1,1,464.6,1,1,3
105,2,1,1,1162.2,1,1,4
105,2,1,1,610.5,1,1,5
105,2,1,0,455,1,1,6
105,2,1,1,435.3,1,1,7
105,2,1,1,1176.9,1,1,8
105,2,1,0,2209.9,1,1,9
105,2,1,1,1669.7,1,1,10
105,2,1,1,621.1,1,1,11
105,2,1,1,1303.1,1,1,12
105,2,1,0,1341.9,1,1,13
105,2,1,1,680,1,1,14
105,2,1,1,2141.7,1,1,15
105,2,1,1,752.1,1,1,16
105,1,0,0,1050.8,1,1,1
105,1,0,0,467.3,1,1,2
105,1,0,0,661.1,1,1,3
105,1,1,0,1392.7,1,1,4
105,1,1,1,592.4,1,1,5
105,1,1,0,514.1,1,1,6
105,1,1,1,583.4,1,1,7
105,1,1,1,844.4,1,1,8
105,1,1,0,598.2,1,1,9
105,1,1,1,708.6,1,1,10
105,1,1,1,628.5,1,1,11
105,1,1,1,684.1,1,1,12
105,1,1,1,609.9,1,1,13
105,1,1,0,1510.7,1,1,14
105,1,1,1,813.3,1,1,15
105,1,1,1,733.5,1,1,16
105,3,1,1,1493.9,2,1,1
105,3,1,0,451.7,2,1,2
105,3,1,1,433.3,2,1,3
105,3,1,1,786.6,2,1,4
105,3,1,1,1250.3,2,1,5
105,3,1,0,1105.9,2,1,6
105,3,1,1,595.1,2,1,7
105,3,1,1,2075,2,1,8
105,3,1,0,549.6,2,1,9
105,3,1,1,735,2,1,10
105,3,0,0,930.2,2,1,11
105,3,1,1,692.4,2,1,12
105,3,1,0,549.5,2,1,13
105,3,1,1,635,2,1,14
105,3,1,1,554.3,2,1,15
105,3,1,1,542.9,2,1,16
105,1,1,1,1139.8,2,1,1
105,1,1,1,1466.6,2,1,2
105,1,1,0,980.3,2,1,3
105,1,1,1,562.9,2,1,4
105,1,1,1,518.2,2,1,5
105,1,1,1,1005.7,2,1,6
105,1,1,0,681.3,2,1,7
105,1,1,1,716.6,2,1,8
105,1,1,1,826.9,2,1,9
105,1,1,0,641.7,2,1,10
105,1,1,1,801.1,2,1,11
105,1,1,1,746.3,2,1,12
105,1,1,0,749.5,2,1,13
105,1,1,1,485.4,2,1,14
105,1,1,1,852.9,2,1,15
105,1,1,1,515.3,2,1,16
105,3,1,1,2926.7,3,1,1
105,3,0,0,828.9,3,1,2
105,3,1,1,699.4,3,1,3
105,3,0,1,851.2,3,1,4
105,3,1,1,713.1,3,1,5
105,3,0,1,825.1,3,1,6
105,3,1,1,443.5,3,1,7
105,3,0,0,908.6,3,1,8
105,3,1,0,1031.4,3,1,9
105,3,1,1,997.4,3,1,10
105,3,1,1,1166.9,3,1,11
105,3,1,1,1200.3,3,1,12
105,3,1,1,1126.7,3,1,13
105,3,1,0,1309.8,3,1,14
105,3,1,1,1419.1,3,1,15
105,3,1,1,840.8,3,1,16
105,2,0,0,1872.2,2,1,1
105,2,0,0,1054,2,1,2
105,2,0,0,1388.8,2,1,3
105,2,1,0,1028,2,1,4
105,2,1,1,1412,2,1,5
105,2,1,0,1249.3,2,1,6
105,2,1,1,1328.6,2,1,7
105,2,1,1,1625,2,1,8
105,2,1,0,1286.3,2,1,9
105,2,1,1,1233.1,2,1,10
105,2,1,1,1406.2,2,1,11
105,2,1,1,1569.9,2,1,12
105,2,1,1,1458.9,2,1,13
105,2,1,0,1365.2,2,1,14
105,2,1,1,1901.5,2,1,15
105,2,1,1,1075.9,2,1,16
105,1,0,0,2271.3,3,1,1
105,1,0,1,533.2,3,1,2
105,1,0,0,587.7,3,1,3
105,1,1,1,697.7,3,1,4
105,1,1,1,690.1,3,1,5
105,1,1,0,1170.7,3,1,6
105,1,1,1,626.6,3,1,7
105,1,1,1,578.1,3,1,8
105,1,1,0,587.5,3,1,9
105,1,1,1,468.9,3,1,10
105,1,1,1,546,3,1,11
105,1,1,1,575.8,3,1,12
105,1,1,0,511.6,3,1,13
105,1,1,1,643.8,3,1,14
105,1,1,1,620.5,3,1,15
105,1,1,1,490,3,1,16
105,2,0,0,1244.6,3,1,1
105,2,0,0,1788.3,3,1,2
105,2,0,1,687.4,3,1,3
105,2,1,1,963.7,3,1,4
105,2,1,1,600.5,3,1,5
105,2,1,1,991.9,3,1,6
105,2,1,0,997.9,3,1,7
105,2,1,1,633.2,3,1,8
105,2,1,1,625.3,3,1,9
105,2,1,0,812.7,3,1,10
105,2,1,1,840.7,3,1,11
105,2,1,1,900.5,3,1,12
105,2,1,0,705.2,3,1,13
105,2,1,1,1689.7,3,1,14
105,2,1,1,1138.7,3,1,15
105,2,1,1,626.9,3,1,16
106,3,0,0,1746.1,1,1,1
106,3,1,1,1429.8,1,1,2
106,3,0,1,1372.1,1,1,3
106,3,1,1,1081.3,1,1,4
106,3,0,0,952.1,1,1,5
106,3,1,1,541.3,1,1,6
106,3,0,1,1008.4,1,1,7
106,3,1,1,713.5,1,1,8
106,3,0,0,601.2,1,1,9
106,3,1,0,675.1,1,1,10
106,3,0,0,483.7,1,1,11
106,3,1,1,471.4,1,1,12
106,3,0,1,549.2,1,1,13
106,3,1,1,439.5,1,1,14
106,3,1,1,574.8,1,1,15
106,3,1,1,443.5,1,1,16
106,2,0,0,1281.8,1,1,1
106,2,1,0,670.5,1,1,2
106,2,0,0,567.7,1,1,3
106,2,1,1,511.6,1,1,4
106,2,1,1,698.4,1,1,5
106,2,1,0,597.5,1,1,6
106,2,1,1,563.6,1,1,7
106,2,1,1,671.7,1,1,8
106,2,1,0,557.1,1,1,9
106,2,0,0,427.3,1,1,10
106,2,1,1,1205.2,1,1,11
106,2,1,1,818.4,1,1,12
106,2,1,0,627.9,1,1,13
106,2,1,1,782.2,1,1,14
106,2,1,1,915,1,1,15
106,2,0,0,656.8,1,1,16
106,1,0,0,1382.9,1,1,1
106,1,1,1,737,1,1,2
106,1,1,1,605.3,1,1,3
106,1,1,0,1170,1,1,4
106,1,1,1,1140.4,1,1,5
106,1,0,1,1085.1,1,1,6
106,1,1,1,760.9,1,1,7
106,1,1,1,767.4,1,1,8
106,1,0,1,779.7,1,1,9
106,1,1,1,866,1,1,10
106,1,1,1,1293.3,1,1,11
106,1,0,0,1265.9,1,1,12
106,1,1,1,1036.5,1,1,13
106,1,1,0,1123.5,1,1,14
106,1,1,1,672.1,1,1,15
106,1,0,0,1517.9,1,1,16
106,3,0,0,1114.3,2,1,1
106,3,1,0,602.9,2,1,2
106,3,1,1,644.9,2,1,3
106,3,1,1,632,2,1,4
106,3,1,1,539.8,2,1,5
106,3,1,0,445.6,2,1,6
106,3,1,1,673.8,2,1,7
106,3,1,1,1850.2,2,1,8
106,3,1,0,925.1,2,1,9
106,3,1,1,1275.7,2,1,10
106,3,1,1,1045.6,2,1,11
106,3,1,1,745.1,2,1,12
106,3,0,1,783.3,2,1,13
106,3,1,1,469.7,2,1,14
106,3,1,1,465.9,2,1,15
106,3,1,1,775.2,2,1,16
106,1,0,0,1469.7,2,1,1
106,1,1,1,763.1,2,1,2
106,1,1,0,702.6,2,1,3
106,1,0,0,1277.7,2,1,4
106,1,1,1,751.7,2,1,5
106,1,1,1,505.5,2,1,6
106,1,1,0,462,2,1,7
106,1,1,1,590.5,2,1,8
106,1,1,1,552.4,2,1,9
106,1,0,1,1556.9,2,1,10
106,1,1,1,563.5,2,1,11
106,1,1,1,962.6,2,1,12
106,1,1,0,939.7,2,1,13
106,1,1,1,588,2,1,14
106,1,1,1,624.2,2,1,15
106,1,1,1,2021.7,2,1,16
106,3,0,0,944,3,1,1
106,3,1,1,836.9,3,1,2
106,3,1,1,885.8,3,1,3
106,3,0,1,906.6,3,1,4
106,3,1,1,955.9,3,1,5
106,3,1,0,804.8,3,1,6
106,3,0,0,860.6,3,1,7
106,3,1,1,742.3,3,1,8
106,3,1,0,1070.5,3,1,9
106,3,1,1,541.3,3,1,10
106,3,1,1,1415.3,3,1,11
106,3,1,1,953.7,3,1,12
106,3,0,0,1472.8,3,1,13
106,3,1,0,825.7,3,1,14
106,3,1,1,743.1,3,1,15
106,3,1,1,651.8,3,1,16
106,2,1,1,1162.8,2,1,1
106,2,0,0,633.6,2,1,2
106,2,1,1,469.2,2,1,3
106,2,1,0,654.2,2,1,4
106,2,1,1,709.3,2,1,5
106,2,1,0,417.2,2,1,6
106,2,1,1,1250.2,2,1,7
106,2,0,0,455.3,2,1,8
106,2,1,0,1600.7,2,1,9
106,2,1,1,718.4,2,1,10
106,2,1,1,636.6,2,1,11
106,2,1,1,563.5,2,1,12
106,2,1,1,674.7,2,1,13
106,2,1,0,557.4,2,1,14
106,2,1,1,762.3,2,1,15
106,2,1,1,615.5,2,1,16
106,1,0,0,1569.8,3,1,1
106,1,1,0,749.6,3,1,2
106,1,1,1,1774.1,3,1,3
106,1,1,1,2532.1,3,1,4
106,1,0,0,2037,3,1,5
106,1,1,0,444.2,3,1,6
106,1,1,1,504.6,3,1,7
106,1,1,1,523.2,3,1,8
106,1,1,0,404.7,3,1,9
106,1,1,1,742.2,3,1,10
106,1,1,1,849.3,3,1,11
106,1,0,0,1899.1,3,1,12
106,1,1,0,551.1,3,1,13
106,1,1,1,514,3,1,14
106,1,1,1,714.5,3,1,15
106,1,1,1,549,3,1,16
106,2,1,1,906.3,3,1,1
106,2,1,1,704,3,1,2
106,2,1,0,777.8,3,1,3
106,2,1,1,552.8,3,1,4
106,2,1,1,867.6,3,1,5
106,2,1,1,688,3,1,6
106,2,1,0,573.9,3,1,7
106,2,1,1,688.1,3,1,8
106,2,1,1,739.8,3,1,9
106,2,1,0,743.3,3,1,10
106,2,1,1,884.5,3,1,11
106,2,1,1,691.5,3,1,12
106,2,1,0,564.8,3,1,13
106,2,1,1,610.8,3,1,14
106,2,1,1,713.1,3,1,15
106,2,1,1,929,3,1,16
107,3,0,0,1426.4,1,1,1
107,3,1,1,1465.2,1,1,2
107,3,1,0,952.7,1,1,3
107,3,1,1,1363.4,1,1,4
107,3,1,1,1117.3,1,1,5
107,3,1,1,1255.8,1,1,6
107,3,1,0,1059.1,1,1,7
107,3,1,1,770,1,1,8
107,3,1,1,1044,1,1,9
107,3,1,0,543.8,1,1,10
107,3,1,1,819.1,1,1,11
107,3,1,1,538.9,1,1,12
107,3,1,0,679,1,1,13
107,3,1,1,882.5,1,1,14
107,3,1,1,775.4,1,1,15
107,3,1,1,455.8,1,1,16
107,2,0,0,1075,1,1,1
107,2,1,0,447.4,1,1,2
107,2,1,1,791,1,1,3
107,2,1,1,1032.1,1,1,4
107,2,1,1,636.8,1,1,5
107,2,1,0,788.1,1,1,6
107,2,1,1,1331,1,1,7
107,2,0,0,1675.9,1,1,8
107,2,1,0,620.3,1,1,9
107,2,1,1,673.8,1,1,10
107,2,1,1,799.1,1,1,11
107,2,1,1,528.1,1,1,12
107,2,1,0,379.7,1,1,13
107,2,1,1,913.5,1,1,14
107,2,1,1,444.4,1,1,15
107,2,1,1,573.7,1,1,16
107,1,1,1,1245.5,1,1,1
107,1,1,1,517.4,1,1,2
107,1,0,0,2153,1,1,3
107,1,1,0,809.7,1,1,4
107,1,1,1,611.8,1,1,5
107,1,1,0,829.8,1,1,6
107,1,1,1,764.7,1,1,7
107,1,1,1,795.1,1,1,8
107,1,1,0,1013.6,1,1,9
107,1,1,1,1648.6,1,1,10
107,1,1,1,1306.6,1,1,11
107,1,1,1,1957.7,1,1,12
